rdate,js,je,f,is,ie,kelag,kslag,y,u,q,cs,ce
19521,.264,.215,21892,55895,77334,427525,651775,1104800,.845,.595444,.1677412,.2115704
19522,.269,.213,20420,56628,77367,433250,656350,1101400,.829,.593621,.1702426,.2087738
19523,.268,.212,20720,57272,65991,438975,660925,1110700,.842,.597444,.1682795,.2061639
19524,.274,.212,22804,59465,72500,444700,665500,1141700,.898,.606619,.1693898,.2029799
19531,.273,.214,24376,61072,77715,450575,671125,1165900,.910,.597545,.1687716,.2048949
19532,.277,.217,24232,62151,76841,456450,676750,1177900,.913,.588126,.1712444,.2077672
19533,.280,.220,24352,62491,78933,462325,682375,1171800,.900,.579718,.1724333,.2098249
19534,.277,.219,20380,63678,77351,468200,688000,1164400,.847,.573751,.1719082,.2104948
19541,.281,.216,22504,64548,73123,472125,693975,1146500,.808,.616201,.1717282,.2044417
19542,.285,.213,23996,65120,71631,476050,699950,1141300,.797,.653218,.1735104,.2008357
19543,.287,.213,25164,65042,73688,479975,705925,1157000,.791,.692738,.1747281,.2008357
19544,.292,.213,27156,64774,72242,483900,711900,1173700,.808,.735825,.1752220,.1993200
19551,.290,.213,30120,66884,72908,489225,718525,1206900,.845,.744819,.1781351,.2002479
19552,.290,.215,31028,68391,79833,494550,725150,1223000,.874,.762143,.1737651,.1983461
19553,.295,.219,32248,70413,84809,499875,731775,1239700,.875,.783444,.1721040,.1983893
19554,.295,.225,33388,71824,89118,505200,738400,1249200,.886,.810759,.1737919,.2046218
19561,.299,.236,32856,73716,85115,510800,746525,1246600,.875,.797595,.1757350,.2139184
19562,.307,.236,33228,76042,84422,516400,754650,1252400,.865,.793532,.1786031,.2120674
19563,.312,.243,31692,76315,85826,522000,762775,1250400,.842,.789272,.1814756,.2174122
19564,.323,.246,33124,75991,84321,527600,770900,1267000,.864,.788694,.1902681,.2207142
19571,.329,.249,34408,75331,85719,532775,778525,1277100,.865,.757800,.1950064,.2232186
19572,.331,.252,33800,75253,84863,537950,786150,1273900,.846,.724757,.1935578,.2238900
