Town	Precincts reporting	Type1	Votes1	Type2	Votes2
Abington	5 of 5	No	3498	Yes	2749
Acton	8 of 8	Yes	5896	No	3934
Acushnet	4 of 4	No	2492	Yes	1426
Adams	5 of 5	Yes	1774	No	1034
Agawam	8 of 8	No	6317	Yes	4743
Alford	0 of 1	Yes	0	No	0
Amesbury	6 of 6	Yes	4149	No	3277
Amherst	10 of 10	Yes	6570	No	1192
Andover	11 of 11	No	7914	Yes	6453
Arlington	21 of 21	Yes	14546	No	6922
Ashburnham	2 of 2	Yes	1605	No	1390
Ashby	1 of 1	No	757	Yes	686
Ashfield	1 of 1	Yes	736	No	222
Ashland	6 of 6	Yes	3892	No	3240
Athol	3 of 3	No	1842	Yes	1751
Attleboro	12 of 12	No	7462	Yes	7451
Auburn	5 of 5	No	3479	Yes	3345
Avon	1 of 1	No	873	Yes	721
Ayer	3 of 3	Yes	1758	No	1424
Barnstable	13 of 13	No	11673	Yes	9352
Barre	2 of 2	No	1231	Yes	943
Becket	1 of 1	Yes	461	No	317
Bedford	5 of 5	Yes	3194	No	3082
Belchertown	4 of 4	Yes	3770	No	2965
Bellingham	5 of 5	No	3544	Yes	2977
Belmont	8 of 8	Yes	6523	No	5125
Berkley	2 of 2	No	1647	Yes	985
Berlin	1 of 1	No	962	Yes	843
Bernardston	1 of 1	Yes	560	No	384
Beverly	12 of 12	Yes	9190	No	7790
Billerica	12 of 12	No	9342	Yes	7290
Blackstone	3 of 3	No	1846	Yes	1383
Blandford	1 of 1	No	377	Yes	230
Bolton	1 of 1	No	1427	Yes	1407
Boston	280 of 280	Yes	107804	No	58725
Bourne	8 of 8	No	4989	Yes	3717
Boxborough	1 of 1	Yes	1292	No	1081
Boxford	3 of 3	No	2479	Yes	1491
Boylston	1 of 1	No	1443	Yes	1108
Braintree	12 of 12	No	7994	Yes	6252
Brewster	3 of 3	Yes	3089	No	2726
Bridgewater	9 of 9	No	5606	Yes	4063
Brimfield	1 of 1	No	1009	Yes	676
Brockton	28 of 28	Yes	10784	No	7676
Brookfield	1 of 1	No	826	Yes	603
Brookline	20 of 20	Yes	13235	No	7469
Buckland	1 of 1	Yes	629	No	259
Burlington	7 of 7	No	5909	Yes	4599
Cambridge	42 of 42	Yes	24241	No	7493
Canton	7 of 7	No	5401	Yes	4570
Carlisle	1 of 1	Yes	1410	No	1383
Carver	3 of 3	No	2894	Yes	2054
Charlemont	1 of 1	Yes	351	No	163
Charlton	5 of 5	No	3306	Yes	2131
Chatham	2 of 2	No	2231	Yes	1671
Chelmsford	13 of 13	No	8080	Yes	7869
Chelsea	16 of 16	Yes	3141	No	1646
Cheshire	1 of 1	Yes	727	No	590
Chester	1 of 1	No	321	Yes	216
Chesterfield	1 of 1	Yes	403	No	239
Chicopee	21 of 21	Yes	7882	No	7546
Chilmark	1 of 1	Yes	466	No	258
Clarksburg	1 of 1	Yes	398	No	264
Clinton	4 of 4	Yes	2521	No	2460
Cohasset	3 of 3	No	2697	Yes	1521
Colrain	0 of 1	Yes	0	No	0
Concord	5 of 5	Yes	5167	No	4189
Conway	1 of 1	Yes	749	No	308
Cummington	1 of 1	Yes	320	No	134
Dalton	2 of 2	Yes	1580	No	854
Danvers	8 of 8	No	6476	Yes	5127
Dartmouth	9 of 9	No	6706	Yes	5447
Dedham	7 of 7	Yes	5520	No	5386
Deerfield	1 of 1	Yes	1664	No	882
Dennis	5 of 5	No	4357	Yes	3476
Dighton	3 of 3	No	1805	Yes	1205
Douglas	3 of 3	No	2327	Yes	1531
Dover	1 of 1	No	2038	Yes	877
Dracut	10 of 10	No	6604	Yes	4558
Dudley	4 of 4	No	2336	Yes	1776
Dunstable	1 of 1	No	927	Yes	691
Duxbury	6 of 6	No	4917	Yes	3106
East Bridgewater	4 of 4	No	3516	Yes	1793
East Brookfield	1 of 1	No	571	Yes	359
Eastham	1 of 1	Yes	1894	No	1406
Easthampton	5 of 5	Yes	5462	No	2216
East Longmeadow	8 of 8	No	3874	Yes	2984
Easton	8 of 8	No	5266	Yes	4483
Edgartown	1 of 1	No	1070	Yes	1011
Egremont	1 of 1	Yes	505	No	215
Erving	1 of 1	Yes	378	No	264
Essex	1 of 1	No	256	Yes	224
Everett	20 of 20	Yes	4452	No	3293
Fairhaven	6 of 6	No	3454	Yes	3139
Fall River	27 of 27	Yes	8405	No	7941
Falmouth	9 of 9	Yes	8469	No	8377
Fitchburg	12 of 12	Yes	5041	No	4618
Florida	1 of 1	Yes	153	No	128
Foxborough	5 of 5	No	4407	Yes	3318
Framingham	28 of 30	Yes	12661	No	8764
Franklin	9 of 9	No	7572	Yes	6432
Freetown	3 of 3	No	2243	Yes	1473
Gardner	10 of 10	Yes	3011	No	2900
Aquinnah	1 of 1	Yes	174	No	84
Georgetown	3 of 3	No	2261	Yes	1611
Gill	1 of 1	Yes	498	No	456
Gloucester	10 of 10	Yes	6887	No	5917
Goshen	1 of 1	Yes	368	No	136
Gosnold	1 of 1	Yes	29	No	25
Grafton	5 of 5	No	3882	Yes	3775
Granby	3 of 3	No	1443	Yes	1348
Granville	1 of 1	No	454	Yes	266
Great Barrington	4 of 4	Yes	2130	No	679
Greenfield	9 of 9	Yes	4858	No	1920
Groton	4 of 4	Yes	2808	No	2523
Groveland	2 of 2	No	1807	Yes	1448
Hadley	1 of 1	Yes	1608	No	893
Halifax	3 of 3	No	2002	Yes	1330
Hamilton	2 of 2	No	1866	Yes	1619
Hampden	1 of 1	No	1387	Yes	913
Hancock	1 of 1	No	181	Yes	162
Hanover	4 of 4	No	4544	Yes	2665
Hanson	3 of 3	No	3040	Yes	1902
Hardwick	1 of 1	No	601	Yes	498
Harvard	1 of 1	Yes	1699	No	1386
Harwich	4 of 4	No	3821	Yes	3435
Hatfield	1 of 1	Yes	1076	No	638
Haverhill	28 of 28	No	9421	Yes	8770
Hawley	1 of 1	Yes	92	No	57
Heath	1 of 1	Yes	231	No	119
Hingham	8 of 8	No	7222	Yes	4770
Hinsdale	1 of 1	Yes	499	No	330
Holbrook	4 of 4	No	1941	Yes	1815
Holden	6 of 6	No	4759	Yes	4379
Holland	1 of 1	No	564	Yes	475
Holliston	4 of 4	Yes	3626	No	3262
Holyoke	14 of 14	Yes	5594	No	3622
Hopedale	1 of 1	No	1207	Yes	1182
Hopkinton	5 of 5	No	4078	Yes	3525
Hubbardston	1 of 1	No	1223	Yes	934
Hudson	6 of 6	Yes	4125	No	3789
Hull	3 of 3	Yes	2689	No	2522
Huntington	1 of 1	No	451	Yes	420
Ipswich	4 of 4	Yes	3608	No	3574
Kingston	4 of 4	No	3467	Yes	2673
Lakeville	3 of 3	No	3354	Yes	2038
Lancaster	2 of 2	No	1677	Yes	1387
Lanesborough	1 of 1	Yes	792	No	450
Lawrence	26 of 26	Yes	6037	No	3323
Lee	1 of 1	Yes	1545	No	766
Leicester	4 of 4	No	2462	Yes	1893
Lenox	1 of 1	Yes	1614	No	726
Leominster	15 of 15	No	7205	Yes	6721
Leverett	1 of 1	Yes	823	No	174
Lexington	9 of 9	Yes	7567	No	6199
Leyden	1 of 1	Yes	252	No	132
Lincoln	2 of 2	Yes	1806	No	1314
Littleton	3 of 3	Yes	2532	No	2439
Longmeadow	5 of 5	No	3627	Yes	3311
Lowell	39 of 39	Yes	12080	No	8379
Ludlow	6 of 6	No	4445	Yes	3324
Lunenburg	6 of 6	No	2702	Yes	2436
Lynn	30 of 30	Yes	10901	No	7922
Lynnfield	4 of 4	No	3849	Yes	1889
Malden	27 of 27	Yes	9029	No	4749
Manchester-by-the-Sea	1 of 1	Yes	1479	No	858
Mansfield	9 of 9	No	5368	Yes	4457
Marblehead	6 of 6	No	5662	Yes	4739
Marion	1 of 1	No	1399	Yes	1263
Marlborough	17 of 17	Yes	6737	No	5984
Marshfield	8 of 8	No	7599	Yes	5123
Mashpee	5 of 5	No	4259	Yes	3606
Mattapoisett	2 of 2	No	2055	Yes	1585
Maynard	4 of 4	Yes	3023	No	1857
Medfield	4 of 4	No	3635	Yes	2520
Medford	18 of 18	Yes	13050	No	8003
Medway	4 of 4	No	3215	Yes	2789
Melrose	14 of 14	Yes	7225	No	5532
Mendon	2 of 2	No	1662	Yes	1080
Merrimac	2 of 2	No	1649	Yes	1523
Methuen	17 of 17	No	8648	Yes	7165
Middleborough	9 of 9	No	5658	Yes	3849
Middlefield	1 of 1	Yes	153	No	99
Middleton	3 of 3	No	2466	Yes	1737
Milford	8 of 8	No	4624	Yes	4546
Millbury	4 of 4	No	2961	Yes	2457
Millis	3 of 3	No	2263	Yes	2112
Millville	1 of 1	No	707	Yes	483
Milton	11 of 11	No	6231	Yes	5812
Monroe	1 of 1	Yes	19	No	18
Monson	3 of 3	No	2031	Yes	1612
Montague	6 of 6	Yes	2328	No	980
Monterey	1 of 1	Yes	342	No	139
Montgomery	1 of 1	No	266	Yes	173
Mount Washington	1 of 1	Yes	77	No	22
Nahant	1 of 1	No	1019	Yes	864
Nantucket	1 of 1	No	2371	Yes	2120
Natick	10 of 10	Yes	8781	No	7016
Needham	10 of 10	No	8131	Yes	6742
New Ashford	1 of 1	Yes	68	No	47
New Bedford	41 of 41	Yes	10479	No	9210
New Braintree	1 of 1	No	275	Yes	206
Newbury	2 of 2	No	2024	Yes	1721
Newburyport	7 of 7	Yes	5142	No	4531
New Marlborough	1 of 1	Yes	477	No	246
New Salem	1 of 1	Yes	320	No	210
Newton	34 of 34	Yes	18869	No	15635
Norfolk	4 of 4	No	2951	Yes	2119
North Adams	5 of 5	Yes	2564	No	956
Northampton	14 of 14	Yes	10982	No	2383
North Andover	8 of 8	No	6726	Yes	5164
