Town	Yes	No	Total votes	% In
Boston	65	35	166529	>95
Worcester	59	41	39742	>95
Newton	55	45	34504	>95
Cambridge	76	24	31734	>95
Plymouth	45	55	27940	>95
Quincy	55	45	27501	>95
Somerville	79	21	26523	>95
Springfield	60	40	26323	>95
Weymouth	49	51	22476	>95
Arlington	68	32	21468	>95
Framingham	59	41	21425	92
Medford	62	38	21053	88
Barnstable	44	56	21025	>95
Brookline	64	36	20704	>95
Lowell	59	41	20459	>95
New Bedford	53	47	19689	>95
Peabody	45	55	19396	>95
Lynn	58	42	18823	>95
Brockton	58	42	18460	>95
Waltham	58	42	18387	>95
Haverhill	48	52	18191	>95
Beverly	54	46	16980	>95
Falmouth	50	50	16846	>95
Billerica	44	56	16632	>95
Fall River	51	49	16346	>95
Chelmsford	49	51	15949	>95
Salem	65	35	15867	>95
Methuen	45	55	15813	>95
Natick	56	44	15797	>95
Taunton	48	52	15650	>95
Chicopee	51	49	15428	90
Woburn	47	53	15272	>95
Attleboro	50	50	14913	>95
Needham	45	55	14873	>95
Shrewsbury	48	52	14649	>95
Andover	45	55	14367	>95
Braintree	44	56	14246	>95
Franklin	46	54	14004	>95
Leominster	48	52	13926	>95
Malden	66	34	13778	>95
Lexington	55	45	13766	>95
Westfield	45	55	13707	>95
Pittsfield	69	31	13596	>95
Northampton	82	18	13365	>95
Watertown	66	34	13162	>95
Gloucester	54	46	12804	>95
Melrose	57	43	12757	>95
Marshfield	40	60	12722	>95
Marlborough	53	47	12721	>95
Tewksbury	42	58	12547	>95
Dartmouth	45	55	12153	>95
Milton	48	52	12043	>95
Hingham	40	60	11992	>95
North Andover	43	57	11890	>95
Reading	47	53	11831	>95
Wakefield	47	53	11763	>95
Belmont	56	44	11648	>95
Danvers	44	56	11603	>95
Yarmouth	48	52	11593	>95
Walpole	41	59	11538	79
Wellesley	37	63	11488	>95
Norwood	50	50	11347	93
Dracut	41	59	11162	>95
Agawam	43	57	11060	>95
Dedham	51	49	10906	>95
North Attleborough	45	55	10813	>95
Burlington	44	56	10508	>95
Westford	49	51	10444	>95
Revere	52	48	10431	>95
Marblehead	46	54	10401	>95
Sandwich	43	57	10325	>95
Scituate	42	58	10279	>95
Stoneham	48	52	10197	>95
Canton	46	54	9971	>95
Saugus	40	60	9932	>95
Winchester	41	59	9909	>95
Acton	60	40	9830	>95
Mansfield	45	55	9825	>95
Easton	46	54	9749	>95
Newburyport	53	47	9673	>95
Bridgewater	42	58	9669	>95
Fitchburg	52	48	9659	>95
Stoughton	50	50	9584	92
Wilmington	41	59	9544	>95
Middleborough	40	60	9507	>95
Lawrence	64	36	9360	65
Concord	55	45	9356	>95
Holyoke	61	39	9216	80
Milford	50	50	9170	>95
Holden	48	52	9138	>95
Randolph	63	37	8941	>95
Sudbury	49	51	8736	>95
Bourne	43	57	8706	>95
Wareham	47	53	8589	>95
Pembroke	41	59	8280	83
Duxbury	39	61	8023	>95
Hudson	52	48	7914	>95
West Springfield	48	52	7879	>95
Mashpee	46	54	7865	>95
Dennis	44	56	7833	>95
Ludlow	43	57	7769	>95
Amherst	85	15	7762	>95
Everett	57	43	7745	>95
Foxborough	43	57	7725	>95
Easthampton	71	29	7678	>95
Grafton	49	51	7657	>95
Hopkinton	46	54	7603	>95
Westwood	39	61	7535	>95
Somerset	48	52	7454	>95
Amesbury	56	44	7426	>95
Westborough	53	47	7414	>95
Westport	41	59	7389	>95
Harwich	47	53	7256	>95
Hanover	37	63	7209	>95
Ipswich	50	50	7182	>95
North Reading	41	59	7170	>95
Ashland	55	45	7132	>95
Sharon	56	44	7119	>95
Norton	45	55	7010	>95
Longmeadow	48	52	6938	>95
Holliston	53	47	6888	>95
East Longmeadow	44	56	6858	>95
Swampscott	53	47	6849	>95
Auburn	49	51	6824	>95
South Hadley	57	43	6809	93
Greenfield	72	28	6778	>95
Belchertown	56	44	6735	>95
Rockland	46	54	6642	>95
Swansea	44	56	6615	>95
Fairhaven	48	52	6593	>95
Bellingham	46	54	6521	>95
Wayland	51	49	6510	>95
Wilbraham	44	56	6479	>95
Winthrop	49	51	6469	>95
Bedford	51	49	6276	>95
Abington	44	56	6247	92
Medfield	41	59	6155	>95
Kingston	44	56	6140	>95
Whitman	45	55	6069	>95
Medway	46	54	6004	>95
Uxbridge	43	57	6002	>95
Seekonk	46	54	5919	>95
Gardner	51	49	5911	>95
Raynham	41	59	5850	>95
